N samples (anchors + unknowns),16 (4 + 12)
N analyses (anchors + unknowns),1149 (783 + 366)
Repeatability of δ13C_VPDB,78.1 ppm
Repeatability of δ18O_VSMOW,160.0 ppm
Repeatability of Δ47 (anchors),37.0 ppm
Repeatability of Δ47 (unknowns),42.2 ppm
Repeatability of Δ47 (all),38.8 ppm
Model degrees of freedom,1081
Student's 95% t-factor,1.96
Standardization method,pooled
